,Entity,Code,year,heating,cooling
0,Austria,AUT,1979,3953.83,1.08
1,Austria,AUT,1980,4225.38,1.36
2,Austria,AUT,1981,3913.61,4.3
3,Austria,AUT,1982,3781.24,1.74
4,Austria,AUT,1983,3729.22,15.24
5,Austria,AUT,1984,4074.61,3.63
6,Austria,AUT,1985,4118.32,3.7
7,Austria,AUT,1986,4007.53,5.95
8,Austria,AUT,1987,4056.48,3.87
9,Austria,AUT,1988,3731.0,12.36
10,Austria,AUT,1989,3595.02,3.46
11,Austria,AUT,1990,3653.29,4.32
12,Austria,AUT,1991,4007.59,6.41
13,Austria,AUT,1992,3595.32,37.09
14,Austria,AUT,1993,3766.17,7.99
15,Austria,AUT,1994,3367.48,34.02
16,Austria,AUT,1995,3799.04,6.91
17,Austria,AUT,1996,4119.39,1.62
18,Austria,AUT,2005,3853.61,10.8
19,Austria,AUT,2006,3649.35,28.77
20,Austria,AUT,2007,3363.28,25.74
21,Austria,AUT,2008,3444.43,7.3
22,Austria,AUT,2009,3504.84,9.94
23,Austria,AUT,2010,3905.88,25.27
24,Austria,AUT,2011,3409.28,17.63
25,Austria,AUT,2012,3552.85,31.63
26,Austria,AUT,2013,3635.43,46.63
27,Austria,AUT,2014,3126.98,8.97
28,Austria,AUT,2015,3316.42,67.53
29,Austria,AUT,2016,3419.3,12.46
30,Austria,AUT,2017,3498.07,36.05
31,Austria,AUT,2018,3193.65,32.69
32,Austria,AUT,2019,3279.5,40.16
33,Austria,AUT,2020,3322.37,10.01
34,Austria,AUT,2021,3633.44,24.65
35,Austria,AUT,2022,3228.81,29.4
36,Austria,AUT,2023,3147.64,37.12
37,Belgium,BEL,1979,3248.74,0.07
38,Belgium,BEL,1980,3195.81,1.37
39,Belgium,BEL,1981,3021.65,3.57
40,Belgium,BEL,1982,2841.18,4.2
41,Belgium,BEL,1983,2929.98,16.29
42,Belgium,BEL,1984,3077.65,3.47
43,Belgium,BEL,1985,3319.09,0.31
44,Belgium,BEL,1986,3224.22,2.07
45,Belgium,BEL,1987,3254.54,3.15
46,Belgium,BEL,1988,2730.52,0.13
47,Belgium,BEL,1989,2634.02,9.6
48,Belgium,BEL,1990,2655.17,16.9
49,Belgium,BEL,1991,3037.75,5.91
50,Belgium,BEL,1992,2776.15,9.7
51,Belgium,BEL,1993,2857.38,0.39
52,Belgium,BEL,1994,2594.86,40.5
53,Belgium,BEL,1995,2719.37,36.21
54,Belgium,BEL,1996,3290.62,7.74
55,Belgium,BEL,2005,2661.22,12.73
56,Belgium,BEL,2006,2588.67,42.57
57,Belgium,BEL,2007,2439.18,2.64
58,Belgium,BEL,2008,2698.26,1.44
59,Belgium,BEL,2009,2692.13,7.66
60,Belgium,BEL,2010,3193.64,22.07
61,Belgium,BEL,2011,2404.68,8.51
62,Belgium,BEL,2012,2766.54,13.29
63,Belgium,BEL,2013,3021.7,16.75
64,Belgium,BEL,2014,2323.21,8.2
65,Belgium,BEL,2015,2632.62,30.08
66,Belgium,BEL,2016,2695.22,25.37
67,Belgium,BEL,2017,2584.07,16.76
68,Belgium,BEL,2018,2511.15,35.78
69,Belgium,BEL,2019,2532.35,39.72
70,Belgium,BEL,2020,2339.09,52.55
71,Belgium,BEL,2021,2770.92,4.18
72,Belgium,BEL,2022,2377.06,27.5
73,Belgium,BEL,2023,2363.29,12.03
74,Bulgaria,BGR,1979,2657.4,46.58
75,Bulgaria,BGR,1980,2962.03,54.14
76,Bulgaria,BGR,1981,2754.47,60.25
77,Bulgaria,BGR,1982,2840.23,38.62
78,Bulgaria,BGR,1983,2665.66,39.42
79,Bulgaria,BGR,1984,2777.14,31.65
80,Bulgaria,BGR,1985,2950.75,75.58
81,Bulgaria,BGR,1986,2820.5,70.43
82,Bulgaria,BGR,1987,3031.34,133.66
83,Bulgaria,BGR,1988,2904.03,145.84
84,Bulgaria,BGR,1989,2563.41,56.15
85,Bulgaria,BGR,1990,2526.37,77.91
86,Bulgaria,BGR,1991,3003.33,62.87
87,Bulgaria,BGR,1992,2735.4,116.39
88,Bulgaria,BGR,1993,2885.77,125.19
89,Bulgaria,BGR,1994,2486.25,149.42
90,Bulgaria,BGR,1995,2779.84,55.38
91,Bulgaria,BGR,1996,3039.62,111.75
92,Bulgaria,BGR,2005,2692.51,61.45
93,Bulgaria,BGR,2006,2660.51,128.54
94,Bulgaria,BGR,2007,2393.19,247.56
95,Bulgaria,BGR,2008,2466.82,172.96
96,Bulgaria,BGR,2009,2437.31,117.02
97,Bulgaria,BGR,2010,2516.82,180.3
98,Bulgaria,BGR,2011,2798.59,128.56
99,Bulgaria,BGR,2012,2614.0,274.81
100,Bulgaria,BGR,2013,2387.56,134.49
101,Bulgaria,BGR,2014,2365.02,102.89
102,Bulgaria,BGR,2015,2371.11,198.0
103,Bulgaria,BGR,2016,2420.17,185.14
104,Bulgaria,BGR,2017,2527.59,208.93
105,Bulgaria,BGR,2018,2352.1,127.77
106,Bulgaria,BGR,2019,2152.56,163.85
107,Bulgaria,BGR,2020,2247.35,165.92
108,Bulgaria,BGR,2021,2503.07,217.2
109,Bulgaria,BGR,2022,2307.09,201.65
110,Bulgaria,BGR,2023,2081.0,248.43
111,Croatia,HRV,1979,2499.98,40.97
112,Croatia,HRV,1980,2849.29,35.0
113,Croatia,HRV,1981,2575.34,38.73
114,Croatia,HRV,1982,2554.03,52.45
115,Croatia,HRV,1983,2593.28,64.12
116,Croatia,HRV,1984,2719.8,19.53
117,Croatia,HRV,1985,2875.26,58.02
118,Croatia,HRV,1986,2775.49,50.51
119,Croatia,HRV,1987,2810.59,83.07
120,Croatia,HRV,1988,2566.47,101.11
121,Croatia,HRV,1989,2429.35,44.85
122,Croatia,HRV,1990,2346.28,50.9
123,Croatia,HRV,1991,2804.18,76.52
124,Croatia,HRV,1992,2489.43,95.87
125,Croatia,HRV,1993,2573.6,100.14
126,Croatia,HRV,1994,2259.51,172.23
127,Croatia,HRV,1995,2642.38,38.11
128,Croatia,HRV,1996,2877.77,33.5
129,Croatia,HRV,2005,2684.01,85.46
130,Croatia,HRV,2006,2408.49,139.69
131,Croatia,HRV,2007,2208.64,152.33
132,Croatia,HRV,2008,2214.64,140.49
133,Croatia,HRV,2009,2273.67,121.64
134,Croatia,HRV,2010,2521.22,127.32
135,Croatia,HRV,2011,2359.44,156.78
136,Croatia,HRV,2012,2355.07,233.58
137,Croatia,HRV,2013,2290.0,154.84
138,Croatia,HRV,2014,1885.28,60.56
139,Croatia,HRV,2015,2246.21,225.25
140,Croatia,HRV,2016,2264.65,116.42
141,Croatia,HRV,2017,2323.22,208.6
142,Croatia,HRV,2018,2139.52,151.3
143,Croatia,HRV,2019,2076.47,191.6
144,Croatia,HRV,2020,2137.32,130.15
145,Croatia,HRV,2021,2366.18,197.2
146,Croatia,HRV,2022,2114.79,210.07
147,Croatia,HRV,2023,1957.53,181.67
148,Cyprus,CYP,1979,662.88,363.15
149,Cyprus,CYP,1980,865.97,335.1
150,Cyprus,CYP,1981,775.04,399.74
151,Cyprus,CYP,1982,956.94,366.52
152,Cyprus,CYP,1983,916.01,308.86
153,Cyprus,CYP,1984,827.11,268.03
154,Cyprus,CYP,1985,801.69,365.5
155,Cyprus,CYP,1986,797.39,352.31
156,Cyprus,CYP,1987,872.02,380.12
157,Cyprus,CYP,1988,935.47,476.29
158,Cyprus,CYP,1989,880.31,334.03
159,Cyprus,CYP,1990,824.94,353.09
160,Cyprus,CYP,1991,807.88,326.65
161,Cyprus,CYP,1992,1180.09,322.91
162,Cyprus,CYP,1993,960.75,423.35
163,Cyprus,CYP,1994,815.69,528.52
