,year,pH
0,1985,8.11
1,1986,8.109
2,1987,8.108
3,1988,8.105
4,1989,8.103
5,1990,8.102
6,1991,8.101
7,1992,8.101
8,1993,8.1
9,1994,8.098
10,1995,8.096
11,1996,8.094
12,1997,8.094
13,1998,8.091
14,1999,8.088
15,2000,8.087
16,2001,8.086
17,2002,8.085
18,2003,8.083
19,2004,8.081
20,2005,8.079
21,2006,8.078
22,2007,8.076
23,2008,8.074
24,2009,8.073
25,2010,8.072
26,2011,8.069
27,2012,8.068
28,2013,8.065
29,2014,8.064
30,2015,8.063
31,2016,8.06
32,2017,8.057
33,2018,8.055
34,2019,8.053
35,2020,8.051
36,2021,8.049
37,2022,8.047
