,country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,European Union Average,9.6,10.2,10.8,11.7,12.6,13.8,14.4,14.5,16.0,16.7,17.4,17.8,18.0,18.4,19.1,19.9,22.0,21.9,23.1,24.5
1,Belgium,1.9,2.3,2.7,3.1,3.6,4.7,6.0,6.3,7.1,7.7,8.0,8.1,8.7,9.1,9.5,9.9,13.0,13.1,13.8,14.7
2,Bulgaria,9.2,9.2,9.4,9.1,10.3,12.0,13.9,14.2,15.8,18.9,18.0,18.3,18.8,18.7,20.6,21.5,23.3,19.4,19.0,22.6
3,Czechia,6.8,7.1,7.4,7.9,8.7,10.0,10.5,10.9,12.8,13.9,15.1,15.1,14.9,14.8,15.1,16.2,17.3,17.6,18.1,18.6
4,Denmark,14.8,16.0,16.3,17.7,18.5,19.9,21.9,23.4,25.5,27.2,29.3,30.5,31.7,34.4,35.2,37.0,31.7,41.8,42.4,44.9
5,Germany,6.2,7.2,8.5,10.0,10.1,10.9,11.7,12.5,13.5,13.8,14.4,14.9,14.9,15.5,16.7,17.3,19.1,19.3,20.9,21.5
6,Estonia,18.4,17.5,16.0,17.1,18.8,23.0,24.6,25.5,25.6,25.4,26.1,29.0,29.2,29.5,30.0,31.7,30.1,37.3,38.5,41.0
7,Ireland,2.4,2.8,3.1,3.5,4.0,5.2,5.8,6.6,7.0,7.5,8.5,9.1,9.2,10.5,10.9,12.0,16.2,13.0,13.1,15.3
8,Greece,7.2,7.3,7.5,8.2,8.2,8.7,10.1,11.2,13.7,15.3,15.7,15.7,15.4,17.3,18.0,19.6,21.7,22.0,22.7,25.3
9,Spain,8.3,8.4,9.2,9.7,10.7,13.0,13.8,13.2,14.2,15.1,15.9,16.2,17.0,17.1,17.0,17.9,21.2,20.6,21.9,24.9
10,France,9.3,9.3,8.9,9.4,11.2,12.2,12.7,10.8,13.2,13.9,14.4,14.8,15.5,15.8,16.4,17.2,19.1,19.3,20.4,22.3
11,Croatia,23.4,23.7,22.7,22.2,22.0,23.6,25.1,25.4,26.8,28.0,27.8,29.0,28.3,27.3,28.0,28.5,31.0,31.3,28.1,28.1
12,Italy,6.3,7.5,8.3,9.8,11.5,12.8,13.0,12.9,15.4,16.7,17.1,17.5,17.4,18.3,17.8,18.2,20.4,18.9,19.1,19.6
13,Cyprus,3.1,3.1,3.3,4.0,5.1,5.9,6.2,6.2,7.1,8.4,9.1,9.9,9.8,10.5,13.9,13.8,16.9,19.1,19.4,20.2
14,Latvia,32.8,32.3,31.1,29.6,29.8,34.3,30.4,33.5,35.7,37.0,38.6,37.5,37.1,39.0,40.0,40.9,42.1,42.1,43.7,43.2
15,Lithuania,17.2,16.8,16.9,16.5,17.8,19.8,19.6,19.9,21.4,22.7,23.6,25.7,25.6,26.0,24.7,25.5,26.8,28.2,29.6,31.9
16,Luxembourg,0.9,1.4,1.5,2.7,2.8,2.9,2.9,2.9,3.1,3.5,4.5,5.0,5.4,6.2,8.9,7.0,11.7,11.7,14.4,11.6
17,Hungary,4.4,6.9,7.4,8.6,8.6,11.7,12.7,14.0,15.5,16.2,14.6,14.5,14.4,13.6,12.5,12.6,13.8,14.1,15.2,17.4
18,Malta,0.1,0.1,0.1,0.2,0.2,0.2,1.0,1.8,2.9,3.8,4.7,5.1,6.2,7.2,7.9,8.2,10.7,12.6,14.0,15.1
19,Netherlands,2.0,2.5,2.8,3.3,3.6,4.3,3.9,4.5,4.7,4.7,5.4,5.7,5.8,6.5,7.4,8.9,14.0,13.0,14.9,17.2
20,Austria,22.6,24.4,26.3,28.1,28.8,31.0,31.2,31.6,32.7,32.7,33.6,33.5,33.4,33.1,33.8,33.8,36.5,34.8,34.1,40.8
21,Poland,6.9,6.9,6.9,6.9,7.7,8.7,9.3,10.3,11.0,11.5,11.6,11.9,11.4,11.1,14.9,15.4,16.1,15.6,16.8,16.5
22,Portugal,19.2,19.5,20.8,21.9,22.9,24.4,24.2,24.6,24.6,25.7,29.5,30.5,30.9,30.6,30.2,30.6,34.0,34.0,34.7,35.2
23,Romania,16.8,17.6,17.1,18.2,20.2,22.2,22.8,21.7,22.8,23.9,24.8,24.8,25.0,24.5,23.9,24.3,24.5,23.9,24.2,25.8
24,Slovenia,18.4,19.8,18.4,19.7,18.6,20.8,21.1,20.9,21.6,23.2,22.5,22.9,22.0,21.7,21.4,22.0,25.0,25.0,25.0,25.1
25,Slovakia,6.4,6.4,6.6,7.8,7.7,9.4,9.1,10.3,10.5,10.1,11.7,12.9,12.0,11.5,11.9,16.9,17.3,17.4,17.5,17.0
26,Finland,29.2,28.8,30.0,29.6,31.1,31.0,32.2,32.5,34.2,36.6,38.6,39.2,38.9,40.9,41.2,42.8,43.9,42.9,47.7,50.8
27,Sweden,38.4,40.0,41.7,43.2,43.9,47.0,46.1,47.6,49.4,50.2,51.2,52.2,52.6,53.4,53.9,55.8,60.1,62.5,66.3,66.4
