,country,investments,taxes,GDP
0,Belgium,4250,12280,118
1,Bulgaria,260,4100,64
2,Czechia,1320,4020,90
3,Denmark,5480,8990,125
4,Germany,21660,66720,116
5,Estonia,230,830,80
6,Ireland,470,4390,213
7,Greece,390,11580,69
8,Spain,3310,20530,91
9,France,23980,53720,99
10,Croatia,440,2270,76
11,Italy,5510,44960,98
12,Cyprus,20,610,97
13,Latvia,460,870,70
14,Lithuania,1090,1020,87
15,Luxembourg,160,950,237
16,Hungary,1840,3100,77
17,Malta,70,290,107
18,Netherlands,2920,22760,133
19,Austria,3140,8370,120
20,Poland,3670,18320,77
21,Portugal,680,4650,81
22,Romania,1680,4530,78
23,Slovenia,230,1630,92
24,Slovakia,510,2190,74
25,Finland,1980,6560,105
26,Sweden,6260,6940,114
