DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2014,85.149,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2015,94.089,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2016,49.941,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2017,123.149,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2018,239.095,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2019,123.502,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2020,150.666,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2021,227.071,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2022,143.435,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2014,340.804,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2015,352.912,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2016,360.998,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2017,328.812,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2018,310.633,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2019,308.671,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2020,343.807,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2021,240.187,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2022,243.932,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2023,227.201,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2014,270.200,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2015,281.006,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2016,274.975,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2017,264.879,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2018,278.851,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2019,204.969,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2020,233.582,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2021,286.227,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2022,264.536,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2014,492.039,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2015,508.944,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2016,489.880,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2017,475.231,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2018,487.741,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2019,470.318,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2020,378.385,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2021,406.307,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2022,329.668,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2023,279.156,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2014,317.260,
ESTAT:TEN00123(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2015,331.146,
