,source,target,value,year
0,2,13,7.34,2014
1,0,13,2.42,2014
2,1,13,6.24,2014
3,3,13,8.23,2014
4,2,13,7.36,2015
5,0,13,2.48,2015
6,1,13,6.63,2015
7,3,13,8.46,2015
8,2,13,7.61,2016
9,0,13,2.43,2016
10,1,13,6.92,2016
11,3,13,8.6,2016
12,2,13,7.63,2017
13,0,13,2.64,2017
14,1,13,6.96,2017
15,3,13,8.72,2017
16,2,13,7.56,2018
17,0,13,2.58,2018
18,1,13,6.53,2018
19,3,13,8.84,2018
20,2,13,7.54,2019
21,0,13,2.64,2019
22,1,13,6.69,2019
23,3,13,8.83,2019
24,2,13,7.25,2020
25,0,13,2.43,2020
26,1,13,6.96,2020
27,3,13,7.71,2020
28,2,12,7.5,2021
29,0,12,2.62,2021
30,1,12,7.75,2021
31,3,12,7.97,2021
32,2,12,7.5,2022
33,0,12,2.49,2022
34,1,12,6.89,2022
35,3,12,7.55,2022
36,2,12,6.94,2023
37,0,12,2.42,2023
38,1,12,6.58,2023
39,3,12,7.39,2023
40,2,11,10.56,2014
41,0,11,4.23,2014
42,1,11,7.45,2014
43,3,11,8.53,2014
44,2,11,10.57,2015
45,0,11,4.6,2015
46,1,11,8.23,2015
47,3,11,8.91,2015
48,2,11,10.63,2016
49,0,11,4.62,2016
50,1,11,8.26,2016
51,3,11,9.01,2016
52,2,11,10.45,2017
53,0,11,4.61,2017
54,1,11,8.13,2017
55,3,11,8.86,2017
56,2,11,10.68,2018
57,0,11,4.62,2018
58,1,11,8.04,2018
59,3,11,8.9,2018
60,2,11,10.69,2019
61,0,11,4.44,2019
62,1,11,7.5,2019
63,3,11,8.84,2019
64,2,11,10.32,2020
65,0,11,4.3,2020
66,1,11,7.58,2020
67,3,11,7.75,2020
68,2,10,10.83,2021
69,0,10,4.5,2021
70,1,10,8.21,2021
71,3,10,8.56,2021
72,2,10,9.8,2022
73,0,10,3.98,2022
74,1,10,7.05,2022
75,3,10,8.69,2022
76,2,11,9.27,2023
77,0,11,3.83,2023
78,1,11,6.96,2023
79,3,11,8.88,2023
80,2,15,6.33,2014
81,0,15,2.92,2014
82,1,15,6.55,2014
83,3,15,5.95,2014
84,2,14,6.48,2015
85,0,14,2.98,2015
86,1,14,6.77,2015
87,3,14,6.2,2015
88,2,14,6.41,2016
