,country,year,total_country_consumption_value,fuel_type,total_type_of_fuel_consumption_value,consumption_value,Rank
0,Germany,2014,55.43,Gas oil and diesel oil,178.8,32.18,1.0
1,Germany,2014,55.43,Motor gasoline,70.46,17.68,2.0
2,Germany,2014,55.43,Blended biodiesels,10.26,1.95,3.0
3,Germany,2014,55.43,Liquefied petroleum gases,6.98,0.65,4.0
4,Germany,2014,55.43,Natural gas,5.66,0.45,5.0
5,France,2014,45.59,Gas oil and diesel oil,178.8,33.04,1.0
6,France,2014,45.59,Motor gasoline,70.46,7.05,2.0
7,France,2014,45.59,Blended biodiesels,10.26,2.54,3.0
8,France,2014,45.59,Natural gas,5.66,0.11,4.0
9,France,2014,45.59,Liquefied petroleum gases,6.98,0.1,5.0
10,Italy,2014,37.01,Gas oil and diesel oil,178.8,22.77,1.0
11,Italy,2014,37.01,Motor gasoline,70.46,8.49,2.0
12,Italy,2014,37.01,Liquefied petroleum gases,6.98,1.72,3.0
13,Italy,2014,37.01,Natural gas,5.66,1.07,4.0
14,Italy,2014,37.01,Blended biodiesels,10.26,1.06,5.0
15,Spain,2014,28.42,Gas oil and diesel oil,178.8,20.62,1.0
16,Spain,2014,28.42,Motor gasoline,70.46,4.53,2.0
17,Spain,2014,28.42,Blended biodiesels,10.26,0.78,3.0
18,Spain,2014,28.42,Natural gas,5.66,0.14,4.0
19,Spain,2014,28.42,Liquefied petroleum gases,6.98,0.04,5.0
20,Poland,2014,15.8,Gas oil and diesel oil,178.8,9.15,1.0
21,Poland,2014,15.8,Motor gasoline,70.46,3.54,2.0
22,Poland,2014,15.8,Liquefied petroleum gases,6.98,1.76,3.0
23,Poland,2014,15.8,Blended biodiesels,10.26,0.56,4.0
24,Poland,2014,15.8,Natural gas,5.66,0.36,5.0
25,Germany,2015,55.13,Gas oil and diesel oil,183.29,32.94,1.0
26,Germany,2015,55.13,Motor gasoline,68.74,16.93,2.0
27,Germany,2015,55.13,Blended biodiesels,10.17,1.79,3.0
