,waste_operation,year,waste_disposed_in_tonnes,operation_type,waste_disposed_in_million_tonnes
0,Disposal - incineration,2014,25080000.0,Disposal,25.08
1,Disposal - incineration,2016,15960000.0,Disposal,15.96
2,Disposal - incineration,2018,13960000.0,Disposal,13.96
3,Disposal - incineration,2020,9320000.0,Disposal,9.32
4,Disposal - incineration,2022,7900000.0,Disposal,7.9
5,Disposal - landfill,2014,172220000.0,Disposal,172.22
6,Disposal - landfill,2016,151410000.0,Disposal,151.41
7,Disposal - landfill,2018,158170000.0,Disposal,158.17
8,Disposal - landfill,2020,121830000.0,Disposal,121.83
9,Disposal - landfill,2022,136250000.0,Disposal,136.25
10,Disposal - other,2014,3190000.0,Disposal,3.19
11,Disposal - other,2016,3360000.0,Disposal,3.36
12,Disposal - other,2018,3210000.0,Disposal,3.21
13,Disposal - other,2020,1130000.0,Disposal,1.13
14,Disposal - other,2022,820000.0,Disposal,0.82
15,Recovery - backfilling,2014,12430000.0,Recovery,12.43
16,Recovery - backfilling,2016,12280000.0,Recovery,12.28
17,Recovery - backfilling,2018,11280000.0,Recovery,11.28
18,Recovery - backfilling,2020,16700000.0,Recovery,16.7
19,Recovery - backfilling,2022,17260000.0,Recovery,17.26
20,Recovery - energy recovery,2014,103590000.0,Recovery,103.59
21,Recovery - energy recovery,2016,118080000.0,Recovery,118.08
22,Recovery - energy recovery,2018,124670000.0,Recovery,124.67
23,Recovery - energy recovery,2020,123890000.0,Recovery,123.89
24,Recovery - energy recovery,2022,122540000.0,Recovery,122.54
25,Recovery - recycling,2014,374710000.0,Recovery,374.71
26,Recovery - recycling,2016,371030000.0,Recovery,371.03
27,Recovery - recycling,2018,389380000.0,Recovery,389.38
28,Recovery - recycling,2020,371930000.0,Recovery,371.93
29,Recovery - recycling,2022,366390000.0,Recovery,366.39
30,Disposal - average,2014,66830000.0,Disposal,66.83
31,Recovery - average,2014,163576666.66666666,Recovery,163.58
32,Disposal - average,2016,56910000.0,Disposal,56.91
33,Recovery - average,2016,167130000.0,Recovery,167.13
34,Disposal - average,2018,58446666.666666664,Disposal,58.45
35,Recovery - average,2018,175110000.0,Recovery,175.11
36,Disposal - average,2020,44093333.333333336,Disposal,44.09
37,Recovery - average,2020,170840000.0,Recovery,170.84
38,Disposal - average,2022,48323333.333333336,Disposal,48.32
39,Recovery - average,2022,168730000.0,Recovery,168.73
