,vehicle,country,year,zero_emission_vehicles_percentage
0,"Buses, motor coaches, and trolley buses",Austria,2014,0.111
1,"Buses, motor coaches, and trolley buses",Austria,2015,1.334
2,"Buses, motor coaches, and trolley buses",Austria,2016,2.109
3,"Buses, motor coaches, and trolley buses",Austria,2017,0.482
4,"Buses, motor coaches, and trolley buses",Austria,2018,1.511
5,"Buses, motor coaches, and trolley buses",Austria,2019,1.891
6,"Buses, motor coaches, and trolley buses",Austria,2020,1.605
7,"Buses, motor coaches, and trolley buses",Austria,2021,1.24
8,"Buses, motor coaches, and trolley buses",Austria,2022,3.533
9,"Buses, motor coaches, and trolley buses",Austria,2023,5.06
10,"Buses, motor coaches, and trolley buses",Belgium,2014,0.262
11,"Buses, motor coaches, and trolley buses",Belgium,2015,0.0
12,"Buses, motor coaches, and trolley buses",Belgium,2016,0.14
13,"Buses, motor coaches, and trolley buses",Belgium,2017,0.0
14,"Buses, motor coaches, and trolley buses",Belgium,2018,1.318
15,"Buses, motor coaches, and trolley buses",Belgium,2019,2.817
16,"Buses, motor coaches, and trolley buses",Belgium,2020,1.515
17,"Buses, motor coaches, and trolley buses",Belgium,2021,3.072
18,"Buses, motor coaches, and trolley buses",Belgium,2022,7.058
19,"Buses, motor coaches, and trolley buses",Belgium,2023,23.874
20,"Buses, motor coaches, and trolley buses",Bulgaria,2014,29.354
21,"Buses, motor coaches, and trolley buses",Bulgaria,2015,12.401
22,"Buses, motor coaches, and trolley buses",Bulgaria,2016,0.275
23,"Buses, motor coaches, and trolley buses",Bulgaria,2017,0.0
24,"Buses, motor coaches, and trolley buses",Bulgaria,2018,3.365
25,"Buses, motor coaches, and trolley buses",Bulgaria,2019,10.773
26,"Buses, motor coaches, and trolley buses",Bulgaria,2020,7.734
27,"Buses, motor coaches, and trolley buses",Bulgaria,2021,25.555
28,"Buses, motor coaches, and trolley buses",Bulgaria,2022,0.0
29,"Buses, motor coaches, and trolley buses",Bulgaria,2023,0.0
30,"Buses, motor coaches, and trolley buses",Cyprus,2014,0.0
31,"Buses, motor coaches, and trolley buses",Cyprus,2015,0.0
32,"Buses, motor coaches, and trolley buses",Cyprus,2016,0.0
33,"Buses, motor coaches, and trolley buses",Cyprus,2017,0.0
34,"Buses, motor coaches, and trolley buses",Cyprus,2018,0.0
35,"Buses, motor coaches, and trolley buses",Cyprus,2019,0.0
36,"Buses, motor coaches, and trolley buses",Cyprus,2020,0.406
37,"Buses, motor coaches, and trolley buses",Cyprus,2021,0.0
38,"Buses, motor coaches, and trolley buses",Cyprus,2022,0.0
39,"Buses, motor coaches, and trolley buses",Cyprus,2023,13.698
40,"Buses, motor coaches, and trolley buses",Czechia,2014,0.275
41,"Buses, motor coaches, and trolley buses",Czechia,2015,0.21
42,"Buses, motor coaches, and trolley buses",Czechia,2016,0.28
43,"Buses, motor coaches, and trolley buses",Czechia,2017,2.657
44,"Buses, motor coaches, and trolley buses",Czechia,2018,15.723
45,"Buses, motor coaches, and trolley buses",Czechia,2019,0.999
46,"Buses, motor coaches, and trolley buses",Czechia,2020,0.506
47,"Buses, motor coaches, and trolley buses",Czechia,2021,0.239
48,"Buses, motor coaches, and trolley buses",Czechia,2022,3.445
49,"Buses, motor coaches, and trolley buses",Czechia,2023,0.5
50,"Buses, motor coaches, and trolley buses",Germany,2014,0.46
